,emb1,emb2,id
0,-13.5330925,20.581036,elementary_mathematics
1,4.4357886,25.255041,elementary_mathematics
2,-7.1022806,21.557348,elementary_mathematics
3,1.1563159,10.265003,elementary_mathematics
4,-0.38177595,8.2888,elementary_mathematics
5,-0.4083176,29.334343,elementary_mathematics
6,-12.972602,32.68387,elementary_mathematics
7,-4.569095,19.355165,elementary_mathematics
8,-4.0625057,18.886078,elementary_mathematics
9,-4.5987053,19.39394,elementary_mathematics
10,-5.813864,21.540638,elementary_mathematics
11,-11.574772,29.43801,elementary_mathematics
12,1.9148507,10.85906,elementary_mathematics
13,5.08552,18.19471,elementary_mathematics
14,2.2960525,24.913063,elementary_mathematics
15,-11.049378,24.316002,elementary_mathematics
16,-5.1652737,23.21651,elementary_mathematics
17,-9.643719,23.077814,elementary_mathematics
18,0.6926066,24.83603,elementary_mathematics
19,-8.9493065,18.56137,elementary_mathematics
20,-4.7247434,18.458996,elementary_mathematics
21,-2.8213842,20.411999,elementary_mathematics
22,-4.6552844,21.03955,elementary_mathematics
23,2.2201025,30.908936,elementary_mathematics
24,-5.4087563,21.492432,elementary_mathematics
25,-12.264056,32.695217,elementary_mathematics
26,-1.6027433,21.694101,elementary_mathematics
27,5.8478193,23.844223,elementary_mathematics
28,5.497841,18.392906,elementary_mathematics
29,-8.052165,22.958952,elementary_mathematics
30,-5.8762608,24.026688,elementary_mathematics
31,-6.6766763,22.649189,elementary_mathematics
32,-7.754618,24.26725,elementary_mathematics
33,-11.658589,25.362448,elementary_mathematics
34,-3.3354883,28.34383,elementary_mathematics
35,1.1432326,10.145897,elementary_mathematics
36,-9.439942,29.153507,elementary_mathematics
37,-4.49708,22.62819,elementary_mathematics
38,0.9003497,17.707129,elementary_mathematics
39,-9.02471,24.497604,elementary_mathematics
40,-4.6405725,23.608707,elementary_mathematics
41,-7.489014,30.660183,elementary_mathematics
42,5.9962544,24.937334,elementary_mathematics
43,0.5090715,28.913588,elementary_mathematics
44,-11.866964,17.93349,elementary_mathematics
45,3.4263446,24.971117,elementary_mathematics
46,-5.682651,29.09544,elementary_mathematics
47,-12.743825,31.405878,elementary_mathematics
48,-3.2542646,25.077932,elementary_mathematics
49,-10.629582,21.767403,elementary_mathematics
50,-0.9650712,24.968569,elementary_mathematics
51,-0.2721571,20.174051,elementary_mathematics
52,-0.17950708,21.146318,elementary_mathematics
53,-2.2108529,31.235384,elementary_mathematics
54,1.2405548,8.886931,elementary_mathematics
55,-3.6733534,21.224112,elementary_mathematics
56,0.9564839,8.2357645,elementary_mathematics
57,1.6234185,9.228504,elementary_mathematics
58,-14.284829,31.079573,elementary_mathematics
59,-11.434045,33.724968,elementary_mathematics
60,4.6973085,22.741282,elementary_mathematics
61,-8.988642,22.096544,elementary_mathematics
62,-9.009471,15.793246,elementary_mathematics
63,-12.169461,32.638443,elementary_mathematics
64,-4.588523,22.851732,elementary_mathematics
65,-8.975757,15.833911,elementary_mathematics
66,-3.3751519,35.29264,elementary_mathematics
67,-12.911085,29.819803,elementary_mathematics
68,-2.6951454,22.583223,elementary_mathematics
69,-8.497019,32.347538,elementary_mathematics
70,-5.6359816,29.251345,elementary_mathematics
71,-5.3394156,23.23567,elementary_mathematics
72,-5.6384854,29.24988,elementary_mathematics
73,0.7395699,9.292909,elementary_mathematics
74,-3.3996243,35.26028,elementary_mathematics
75,-4.4736934,25.149529,elementary_mathematics
76,-5.750581,15.983762,elementary_mathematics
77,-9.926074,20.000257,elementary_mathematics
78,1.7306877,15.702571,elementary_mathematics
79,-10.498435,33.664425,elementary_mathematics
80,-14.8809395,24.006016,elementary_mathematics
81,1.7786779,26.512127,elementary_mathematics
82,6.0969625,23.60931,elementary_mathematics
83,-3.801303,22.305618,elementary_mathematics
84,6.5120716,24.035471,elementary_mathematics
85,-2.3253663,24.414137,elementary_mathematics
86,-4.092756,17.310614,elementary_mathematics
87,-3.9786258,15.844433,elementary_mathematics
88,6.3776836,23.408052,elementary_mathematics
89,-1.809113,26.945255,elementary_mathematics
90,-1.3398988,24.281132,elementary_mathematics
91,0.5980958,29.975174,elementary_mathematics
92,0.30634123,9.314358,elementary_mathematics
93,-1.5658342,21.379305,elementary_mathematics
94,-3.2002451,18.963455,elementary_mathematics
95,1.5704887,23.93324,elementary_mathematics
96,1.8022418,21.919357,elementary_mathematics
97,-2.2021015,23.753061,elementary_mathematics
98,-0.75023353,15.535621,elementary_mathematics
99,-4.666222,26.074673,elementary_mathematics
100,-5.453487,28.484562,elementary_mathematics
101,3.652774,25.022377,elementary_mathematics
102,0.77148104,10.535845,elementary_mathematics
103,-11.581684,24.152142,elementary_mathematics
104,-8.357889,19.97984,elementary_mathematics
105,-7.764087,20.33084,elementary_mathematics
106,0.18160959,31.16741,elementary_mathematics
107,-1.2411946,23.870323,elementary_mathematics
108,4.447417,28.465578,elementary_mathematics
109,-14.880184,24.009052,elementary_mathematics
110,-8.482277,27.035229,elementary_mathematics
111,-6.0720572,20.391994,elementary_mathematics
112,-10.333123,33.174656,elementary_mathematics
113,0.24618788,26.74553,elementary_mathematics
114,-2.5203857,23.678017,elementary_mathematics
115,-2.5211108,16.44525,elementary_mathematics
116,-3.9094734,19.61101,elementary_mathematics
117,-0.297141,20.139925,elementary_mathematics
118,-1.8261232,29.033783,elementary_mathematics
119,4.157253,24.280296,elementary_mathematics
120,1.4802724,25.176342,elementary_mathematics
121,-7.3891053,27.501078,elementary_mathematics
122,-10.024547,22.62966,elementary_mathematics
123,-0.391669,10.471657,elementary_mathematics
124,-6.191783,24.261513,elementary_mathematics
125,-10.897446,21.649763,elementary_mathematics
126,1.483581,15.952905,elementary_mathematics
127,-1.826586,23.808746,elementary_mathematics
128,-12.905457,31.530647,elementary_mathematics
129,-9.231504,24.852217,elementary_mathematics
130,-0.51878893,22.480522,elementary_mathematics
131,-2.4203408,22.479042,elementary_mathematics
132,-2.5734694,15.554093,elementary_mathematics
133,0.3648368,29.964722,elementary_mathematics
134,-9.690722,20.03986,elementary_mathematics
135,4.6706724,18.727217,elementary_mathematics
136,-12.0854845,17.75382,elementary_mathematics
137,-0.8750044,28.080103,elementary_mathematics
138,-11.264931,25.119003,elementary_mathematics
139,5.985859,25.197712,elementary_mathematics
140,-8.21411,19.188099,elementary_mathematics
141,-9.620773,19.097094,elementary_mathematics
142,-10.347837,33.544537,elementary_mathematics
143,3.5215003,20.11777,elementary_mathematics
144,-5.311144,27.945366,elementary_mathematics
145,-6.1306634,19.78397,elementary_mathematics
146,-8.806604,21.62966,elementary_mathematics
147,-9.160405,16.622849,elementary_mathematics
148,-3.464149,24.11332,elementary_mathematics
149,-9.125212,24.533567,elementary_mathematics
150,-10.4892435,33.204025,elementary_mathematics
151,-3.1348782,24.435402,elementary_mathematics
152,-2.20264,16.229656,elementary_mathematics
153,-5.361117,22.281578,elementary_mathematics
154,-9.786472,17.221119,elementary_mathematics
155,-6.0537586,25.894917,elementary_mathematics
156,1.6403922,28.050356,elementary_mathematics
157,0.45713753,26.450743,elementary_mathematics
158,0.85289854,23.025917,elementary_mathematics
159,-9.345133,22.381786,elementary_mathematics
160,-10.947578,19.972273,elementary_mathematics
161,-4.267243,24.875862,elementary_mathematics
162,2.3400476,9.563686,elementary_mathematics
163,-2.2374864,31.123972,elementary_mathematics
